Grade,Subject,Course,Key,Text,Keywords
HS,Math,Algebra I,6.a,"Develop the concept of slope as rate of change and determine slopes from graphs, tables, and algebraic representations; ","axis, domain, range, graph, rise, "
HS,Math,Algebra I,6.b,"Interpret the meaning of slope and intercepts in situations using data, symbolic representations, or graphs; ","axis, graph, variable, constant, slope, "
HS,Math,Algebra I,6.c,"Investigate, describe, and predict the effects of changes in m and b on the graph of y = mx + b; ","axis, intercept, rise, y, x, "
HS,Math,Algebra I,6.d,"Graph and write equations of lines given characteristics such as two points, a point and a slope, or a slope and y-intercept; ","axis, y, x, graph, rise, "
HS,Math,Algebra I,6.e,"Determine the intercepts of the graphs of linear functions and zeros of linear functions from graphs, tables, and algebraic representations; ","axis, rise, run, coordinate, "
HS,Math,Algebra I,6.f,Interpret and predict the effects of changing slope and y-intercept in applied situations; and ,"graph, axis, rise, run, "
HS,Math,Algebra I,6.g,Relate direct variation to linear functions and solve problems involving proportional change. ,"graph, ratio, variable, constant, coordinate, "
HS,Math,Algebra I,7,"Linear functions. The student formulates equations and inequalities based on linear functions, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ","graph, coordinate, plane, slope, "
HS,Math,Algebra I,7.a,Analyze situations involving linear functions and formulate linear equations or inequalities to solve problems; ,"slope, intercept, coordinate, "
HS,Math,Algebra I,7.b,"Investigate methods for solving linear equations and inequalities using concrete models, graphs, and the properties of equality, select a method, and solve the equations and inequalities; and ","polynom, slope, intercept, coordinate, plane, "
HS,Math,Algebra I,7.c,Interpret and determine the reasonableness of solutions to linear equations and inequalities. ,"graph, slope, rise, run, axis, "
HS,Math,Algebra I,8,"Linear functions. The student formulates systems of linear equations from problem situations, uses a variety of methods to solve them, and analyzes the solutions in terms of the situation. The student is expected to: ",
HS,Math,Algebra I,8.a,Analyze situations and formulate systems of linear equations in two unknowns to solve problems; ,"graph, plot, slope, intercept, axis, "
HS,Math,Algebra I,8.b,"Solve systems of linear equations using concrete models, graphs, tables, and algebraic methods; and ","slope, rise, run, axis, intercept, "
HS,Math,Algebra I,8.c,Interpret and determine the reasonableness of solutions to systems of linear equations. ,"solve, graph, axis, slope, coordinate, "
HS,Math,Algebra I,9,Quadratic and other nonlinear functions. The student understands that the graphs of quadratic functions are affected by the parameters of the function and can interpret and describe the effects of changes in the parameters of quadratic functions. The student is expected to: ,"vertex, domain, range, inverse, parameter, "
HS,Math,Algebra I,9.a,Determine the domain and range for quadratic functions in given situations; ,"slope, intercept, coordinate, graph, "
HS,Math,Algebra I,9.b,"Investigate, describe, and predict the effects of changes in a on the graph of y = ax2 + c; ","slope, rise, run, domain, range, "
HS,Math,Algebra I,9.c,"Investigate, describe, and predict the effects of changes in c on the graph of y = ax2 + c; and ","axis, slope, intercept, "
HS,Math,Algebra I,9.d,Analyze graphs of quadratic functions and draw conclusions. ,"axis, domain, range, slope, intercept, "
HS,Math,Algebra I,10,Quadratic and other nonlinear functions. The student understands there is more than one way to solve a quadratic equation and solves them using appropriate methods. The student is expected to: ,"axis, variable, constant, slope, "
HS,Math,Algebra I,10.a,"Solve quadratic equations using concrete models, tables, graphs, and algebraic methods; and ","axis, equation, slope, function, "
HS,Math,Algebra I,10.b,"Make connections among the solutions (roots) of quadratic equations, the zeros of their related functions, and the horizontal intercepts (x-intercepts) of the graph of the function. ","coordinate, plane, line, "
HS,Math,Algebra I,11,Quadratic and other nonlinear functions. The student understands there are situations modeled by functions that are neither linear nor quadratic and models the situations. The student is expected to: ,"formula, coordinate, graph, plane, "
HS,Math,Algebra I,11.a,Use patterns to generate the laws of exponents and apply them in problem-solving situations; ,"formula, coordinate, graph, "
